name,city,state,address,zip_code,latitude,longitude,rating,review_count,categories,price,business_id
Swedish Hill,Austin,TX,1128 West 6th St,78703,30.27283218996001,-97.75682300467518,3.5,376,"Cafes, Bakeries, Delis",$$,99knW4T5Au5LjvvnbR5tZg
Austin Tea Xchange Cafe,Austin,TX,13011 Shops Pkwy,78738,30.30699,-97.94573,4.7,383,"Cafes, Coffee & Tea, Breakfast & Brunch",$$,xFxHEzJqs8B17aO4o6md_w
Frozen Rolls Creamery,Austin,TX,704 N Lamar Blvd,78703,30.27329,-97.75347,3.8,196,"Desserts, Ice Cream & Frozen Yogurt",$$,kDVXs5GPj_B87glsStyiIw
Tous Les Jours,Austin,TX,6808 N Lamar Blvd,78752,30.335953649574375,-97.72056562188166,4.2,411,"Bakeries, Coffee & Tea, Desserts",$$,MFr9Wsasx6l1ENKJYMQSbw
La Patisserie,Austin,TX,7301 Burnet Rd,78757,30.348694072842765,-97.73497970129098,3.6,159,"Desserts, Bakeries",$$,GhvKR2xjPES-N9yHQqql-A
Bar Peached,Austin,TX,1315 W 6th St,78703,30.27354,-97.76001,4.3,619,"Cocktail Bars, Asian Fusion, Desserts",$$,LoSheJfJ57sNedZj0GWO5A
My Boulangerie,Round Rock,TX,,78664,30.49836159,-97.65394592,0.0,0,"Bakeries, Pop-up Shops, Desserts",N/A,iK51StVCYGxsdI-ZFtU-sA
Mizu Matcha,Boston,MA,217 Newbury St,02116,42.350141,-71.081358,4.6,25,"Gelato, Desserts, Ice Cream & Frozen Yogurt",N/A,fZy2VDXSrMRlVwZaF72_2A
Kyoyo Haus,Cambridge,MA,36 John F Kennedy St,02138,42.372741426687575,-71.11963506206804,4.1,15,"Ice Cream & Frozen Yogurt, Desserts, Japanese",N/A,m6B618K1M2H8BzBB_AR_yA
CT Sweet Kingdom,Boston,MA,15 Beach St,02171,42.3514576,-71.0622171,3.5,122,Desserts,$,lIaNz1coA8BZxLVRaaGfLg
Fuful Bakery,Boston,MA,274 Franklin St,02110,42.35699,-71.05357,4.4,14,"Bakeries, Patisserie/Cake Shop, Desserts",N/A,heb4cuV9RJkI3NL-HhiUHA
Pixlcat Butter Mochi,Boston,MA,227 Dartmouth St,02116,42.349752,-71.076872,4.0,3,"Coffee & Tea, Farmers Market, Desserts",N/A,sWRYU5Gx0_jhaNP9z5VpMA
Verveine Cafe,Cambridge,MA,298 Massachusetts Ave,02139,42.362221,-71.098786,4.3,122,"Cafes, Bakeries",$$,Dj2AaWdxgYSfOjLVN9cfpg
Kyo Matcha,Brookline,MA,1010 Beacon St,02446,42.34637,-71.10741,4.3,167,"Desserts, Ice Cream & Frozen Yogurt, Bakeries",$$,k3CWzSlLz_i23QFIBraxRg
Bao Bao Bakery & Cafe,Boston,MA,84 Harrison Ave,02111,42.3507896,-71.0612335,4.0,185,"Bakeries, Cafes",$,tmukRbz8JRL2KFrf-LDQUA
Meet Fresh,Boston,MA,140 Brighton Ave,02134,42.35277,-71.13185,3.5,105,"Desserts, Bubble Tea, Shaved Ice",$$,g2yPWCp_1ijco4JJfLpIDg
Taiyaki NYC - Boston,Boston,MA,119 Seaport Blvd,02210,42.351006,-71.0447803,4.1,744,"Ice Cream & Frozen Yogurt, Desserts, Japanese",$,_LUnyOwSpo8N5783rceT5Q
Tatte Bakery,Boston,MA,201 Washington St,02108,42.35843744521548,-71.05815349167688,4.3,189,"Bakeries, Breakfast & Brunch, Cafes",$$,brOzmNDA4_3BehZ3d6c2GQ
Futago Udon,Boston,MA,508 Park Dr,02215,42.34772,-71.10582,4.4,579,"Japanese, Noodles, Desserts",$$,9BmP5aQyuvbT-xwpcej1Yw
Tatte Bakery & Cafe,Boston,MA,80 Boylston St,02116,42.35228307237511,-71.0647300611271,4.2,295,"Cafes, Bakeries, Breakfast & Brunch",$$,ji_ZCdR1hCXtN_8pA1eIEQ
HoneyHoney Dessert Cafe,Malden,MA,466 Main St,02148,42.4274435,-71.0673632,3.9,176,"Desserts, Coffee & Tea, Asian Fusion",$,Z6DJLSczSg0ExxmQ8T0giA
Mochinut,Boston,MA,83 Harrison Ave,02111,42.3509341,-71.06154986949777,3.9,7,"Donuts, Desserts, Hot Dogs",N/A,N2cOUKKA_SvpyqAO7GBf4A
Pixlcat Coffee & Butter Mochi,Boston,MA,32 Cambridge St,02129,42.38359,-71.07435,3.5,2,"Cafes, Coffee & Tea, Desserts",N/A,YP8VZhU_YQx-mEFAAPoMbQ
Maprang Bakery & Cafe,Somerville,MA,51 Union Square,02143,42.38002,-71.09605,4.8,115,"Desserts, Cafes, Cupcakes",$,h6q2Soi32B58pfisFZJq_A
OneZo,Cambridge,MA,1792 Massachusetts Ave,02140,42.38597,-71.11962,3.3,30,"Bubble Tea, Desserts",N/A,o1PqQLZ4f2zKN3i3NcgH7A
Mango Mango Dessert-Quincy,Quincy,MA,13 Beale St,02170,42.26766958795646,-71.0168343,3.7,97,"Desserts, Hong Kong Style Cafe, Juice Bars & Smoothies",N/A,zFczuTwTCSk5IHR0H7phQA
Nine Winters Bakery,Cambridge,MA,292 Concord Ave,02138,42.38371965035835,-71.1340227,4.8,14,"Bakeries, Desserts, Custom Cakes",N/A,fnRCzhh18J7hLPNfCQ4Klg
Asaro Bakery & Cafe,Cambridge,MA,1629 Cambridge St,02138,42.374957,-71.109327,4.4,65,"Cafes, Bakeries, Sandwiches",N/A,rHKn2EcXBGoEO5kCaj9yog
Sprout Mediterranean Inspired Salads,Boston,MA,305 Huntington Ave,02115,42.34129,-71.08738,4.5,28,"Salad, Wraps, Desserts",N/A,Io352sOSQXbRr-JGB3tiJg
Japonaise Bakery and Cafe,Brookline,MA,1020 Beacon St,02446,42.34621178672958,-71.10780599033302,4.3,584,"Bakeries, Cafes, Japanese",$,6q9Cse0udgAqWeZnpd54uw
Tatte Bakery & Cafe,Boston,MA,160 Massachusetts Ave,02115,42.3460775709624,-71.086823773419,4.2,103,"Cafes, Bakeries",$$,BruAH-ErE2dGQbGZDqKxuw
Tous Les Jours,Quincy,MA,48 Billings Rd,02171,42.273894,-71.025038,3.9,44,"Bakeries, Coffee & Tea, Desserts",N/A,QcgR7o3S6vPD2P2qi9aZjg
Vester,Cambridge,MA,73 Ames St,02142,42.3632039434025,-71.0882648321178,4.0,139,Cafes,$,MKdL3zHlpqgTUg-UjonEaw
"Levain Bakery - Back Bay, Boston",Boston,MA,180 Newbury St,02116,42.3502143,-71.07927197054578,4.4,366,"Bakeries, Desserts",$$,rVKsy2dc2gMKYBa3N_YjfQ
Tous Les Jours,Quincy,MA,101 Falls Blvd,02169,42.238094,-70.983836,3.8,10,"Desserts, Bakeries, Coffee & Tea",N/A,nHMwGQj5wmmE7G6lRAD9TQ
Peipei's Bakery & Mister monut,Waltham,MA,873 Main St,02451,42.3763953393745,-71.24603146442408,4.6,9,"Cafes, Bakeries, Coffee & Tea",N/A,uH4mFY4F5z94GU_wGDlm2Q
Bistro du Midi,Boston,MA,272 Boylston St,02116,42.351981434352,-71.069533707682,4.0,838,"French, Bars, Desserts",$$$,l45r09qD9iIkQn9KoKKfuw
Tatte Bakery & Cafe,Boston,MA,1352 Boylston St,02215,42.343774922118754,-71.09973684553569,4.1,239,"Bakeries, Cafes",$$,wV1jn1hRVkKClxstWDXAyQ
Tatte Bakery & Cafe,Boston,MA,345 Harrison Ave,02118,42.3452369,-71.06399993838704,4.0,113,"Bakeries, Cafes, Breakfast & Brunch",$$,LaAma3B0ScryCfYk9AlYag
Tatte Bakery & Cafe,Brookline,MA,1003 Beacon St,02446,42.3457847,-71.1070339,4.0,684,"Bakeries, Cafes, Breakfast & Brunch",$$,O38NUkw0yQZxtwjgS-acgQ
Bubble Nation,Arlington,MA,456A Massachusetts Ave,02474,42.414767303829,-71.1516868063141,4.3,83,"Bubble Tea, Coffee & Tea, Desserts",$$,cCHCD5LutCS5QRTNQlMDXg
Tatte Bakery & Cafe,Boston,MA,369 Huntington Ave,02115,42.34002954274759,-71.09050656467997,3.7,119,"Cafes, Bakeries, Breakfast & Brunch",$$,zOOiBmo7mrXi7AR4N7Xswg
Honeycomb Creamery,Cambridge,MA,1702 Massachusetts Ave,02138,42.3832,-71.11985,4.1,474,"Desserts, Ice Cream & Frozen Yogurt, Custom Cakes",$$,fvuXHSkSE00DglB2-qHt5w
L.A. Burdick Handmade Chocolates,Cambridge,MA,52 Brattle St,02138,42.3743982641576,-71.1220407687697,4.3,1229,"Chocolatiers & Shops, Desserts, Tea Rooms",$$,gctbL0lDIYIHM6yDn99V-g
Time Out Market Boston,Boston,MA,401 Park Dr,02215,42.34469474399352,-71.10273234110784,3.4,488,"Cocktail Bars, Desserts, New American",$$,wFSkfP9aE_F99p-K00JA4w
Amba,Cambridge,MA,57-59 First St,02141,42.369053,-71.077939,4.6,52,"Cafes, Breakfast & Brunch, Sandwiches",N/A,pKjfVPHOxyBQlb-PCzVfow
Tatte Bakery & Cafe,Boston,MA,70 Charles St,02114,42.357908990282375,-71.07054983265525,4.0,734,"Cafes, Bakeries, Breakfast & Brunch",$$,O4YoPGlWaGGnBE-5EHUweg
Solid Ground Cafe,Boston,MA,742 Huntington Ave,02115,42.33367,-71.10544,4.6,141,"Coffee & Tea, Cafes, Sandwiches",N/A,VYM2c321AdMmpMI1DCRZIA
Sweet Heart,Belmont,MA,386 Trapelo Rd,02478,42.38568,-71.18494,4.0,29,"Cafes, Bubble Tea, Ice Cream & Frozen Yogurt",N/A,tiYqu1I671KdSRljLpxBXg
Tous Les Jours,Malden,MA,230 Pleasant St,02148,42.4271545,-71.074123,4.2,72,"Coffee & Tea, Bakeries, Desserts",$$,lINhKzX_xUQ5hmq1aplQ-Q
Tatte Bakery & Cafe,Cambridge,MA,318 Third St,02142,42.3649239116026,-71.082667568791,3.9,722,"Cafes, Breakfast & Brunch, Sandwiches",$$,a8ZLRx-NyaT1RtcykR2DCA
Tous Les Jours,Allston,MA,152 Harvard Ave,02134,42.3517628,-71.1315210521496,4.1,200,"Bakeries, Coffee & Tea, Desserts",$$,dxvwfiyFEt42ODIzPGVXCA
Tatte Bakery & Cafe,Cambridge,MA,210 Jacobs St,02141,42.372429118888576,-71.07509,4.0,67,"Breakfast & Brunch, Cafes, Coffee & Tea",N/A,L98qOOAb4EYp_kzmV5GAVw
Whiskful,Somerville,MA,,02145,42.39136,-71.0895,5.0,28,"Bakeries, Custom Cakes, Desserts",N/A,jLELBqfuatq9mtLswmA8qw
Mochinut & OneZo,Quincy,MA,19 Billings Rd,02171,42.2730140401812,-71.0259411111474,3.6,137,"Bubble Tea, Desserts, Donuts",$$,mrXJWyB5ZneRfzgBprctVQ
Tatte Bakery & Cafe,Lexington,MA,1777 Massachusetts Ave,02420,42.447865,-71.22763,3.4,30,"Breakfast & Brunch, Bakeries, Cafes",N/A,dW5gsl5KYg6R5SDdK0U6gQ
Catalyst Restaurant,Cambridge,MA,300 Technology Sq,02139,42.3631270368804,-71.0917502740184,3.6,414,"New American, Desserts, Breakfast & Brunch",$$$,2WXwWfhpfia7_UflDYnUyQ
